person_id,canonical_name,birth_year,death_year,identity_status,verified_openalex_ids,cluster_completeness,network_observable,strong_identifier_evidence,known_work_match_n,institution_match,coauthor_match,topic_field_match,career_timing_match,conflicting_orcid,reviewer,second_reviewer,adjudication_status,mh_blinded_at_identity_lock,review_date,notes
cv_Q41981653,Ianthe Blyden,1899,1984,NO_GRAPH_RECORD,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,protocol-derived,true,2026-09-18,pre-exposure pilot30 triage; review_class=no_openalex_search_hit
cv_Q5540597,George Higoumenakis,1895,1983,NO_GRAPH_RECORD,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,protocol-derived,true,2026-09-18,pre-exposure pilot30 triage; review_class=no_openalex_search_hit
cv_Q109734,Philipp Schaeffer,1894,1943,NO_GRAPH_RECORD,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,protocol-derived,true,2026-09-18,pre-exposure pilot30 triage; review_class=no_openalex_search_hit
cv_Q400678,Ahmad Kasravi,1890,1946,VERIFIED_CLUSTER,A5051478460;A5059432179,moderate,false,,4,false,false,true,false,false,ARIS4C evidence review,,accepted-cluster-network-unusable,true,2026-09-18,"Identity verified pre-exposure: Encyclopaedia Iranica bibliography matches OpenAlex posthumous editions including History of the Persian Constitutional Revolution, Azari/language works, Sheikh Safi and lion-and-sun history. All observed OpenAlex dates are 1999-2006 or later, so this cluster is not historically network-observable for the candidate's 1915-1946 production."
cv_Q41907808,Hilda Bowen,1923,2002,NO_GRAPH_RECORD,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,protocol-derived,true,2026-09-18,pre-exposure pilot30 triage; review_class=no_openalex_search_hit
cv_Q1729753,Karl-Franz Busch,1917,2003,VERIFIED_SINGLE,A5000693352,not_applicable,false,,1,false,false,true,true,false,ARIS4C evidence review,,accepted-single-work-filter-pending,true,2026-09-18,"Verified pre-exposure identity: De Gruyter/KIT catalogue exactly attributes Probleme der pedologisch-hydrologischen Regionalforschung und ihre Umsetzung in die Praxis (1989) to Karl-Franz Busch (1917-2003), matching OpenAlex A5000693352. Same OpenAlex ID also contains strain-engineering items of uncertain authorship, so network remains false pending work-level separation."
cv_Q6240621,John I. Yellott,1908,1986,AMBIGUOUS_COLLISION,,,false,,0,false,false,false,true,false,ARIS4C evidence review,,collision-unresolved,true,2026-09-18,"Pre-exposure collision: authority sources identify John I. Yellott as solar engineer, while OpenAlex A5062000241 mixes solar-collector work with extensive vision/retina/choice-psychology literature. Work-level disentangling required; excluded from current network frame."
cv_Q510562,Mary Alice McWhinnie,1922,1980,VERIFIED_SINGLE,A5027968083,not_applicable,true,,1,true,false,true,true,false,ARIS4C evidence review,,accepted-single,true,2026-09-18,Verified pre-exposure: Oxford Academic exact Crustecdysone Mediated Changes in Crayfish by Mary Alice McWhinnie at DePaul; OpenAlex record has 27 lifetime-plausible crayfish/biology works; Wikidata authority context DePaul + biology.
cv_Q24287044,Hilario Hernández Gurruchaga,1936,2010,VERIFIED_CLUSTER,A5031000107;A5077518778,high,true,,3,true,false,true,true,false,ARIS4C evidence review,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",second-review-adjudicated,true,2026-09-19,"second-review adjudication (2026-09-19): first=VERIFIED_CLUSTER[A5031000107;A5077518778] -> VERIFIED_CLUSTER[A5031000107;A5077518778]; The SciELO/Universidad del Bio-Bio authority record directly linking the plant‑sciences work to the person provides a strong external identifier, outweighing topic mismatch; both IDs belong to same historical person."
cv_Q47504806,Hannah Gavron,1936,1965,VERIFIED_SINGLE,A5041929269,not_applicable,true,,2,false,false,true,true,false,ARIS4C evidence review,,accepted-single,true,2026-09-18,Verified pre-exposure: external bibliographic sources identify Hannah Gavron and posthumous The Captive Wife (1966); OpenAlex A5041929269 contains The Captive Wife plus 1964 Identification and Its Familial Determinants. 2024 reissue chapter fragments are excluded from the historical author mapping.
cv_Q5932286,Dan Laksov,1940,2013,VERIFIED_SINGLE,A5026699275,not_applicable,true,,1,true,false,true,true,false,ARIS4C evidence review,,accepted-single,true,2026-09-18,Verified pre-exposure: exact The determinantal formula of Schubert calculus DOI 10.1007/BF02392111 matches external bibliography; KTH/algebraic-geometry authority context agrees; OpenAlex has 43 fetched lifetime-plausible works.
cv_Q3076441,James S. Albus,1935,2011,VERIFIED_SINGLE,A5021677003,not_applicable,true,,2,true,false,true,true,false,ARIS4C evidence review,,accepted-single,true,2026-09-18,"Verified pre-exposure: NIST authority publications identify James S. Albus in intelligent control/manufacturing; OpenAlex A5021677003 contains A theory of cerebellar function, CMAC, NIST Robocrane and related control/robotics output. One empty/no-plausible fragment is excluded."
cv_Q53844925,José Luis Juárez Villarín,1955,2018,NO_GRAPH_RECORD,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,protocol-derived,true,2026-09-18,pre-exposure pilot30 triage; review_class=no_openalex_search_hit
